time;ax;ay;az;aT
0,0050;0,0881;0,2204;0,3717;0,441
0,0060;0,0348;0,1545;0,6168;0,637
0,0060;-0,0381;0,1938;0,6978;0,725
0,0070;-0,0936;0,1995;0,7396;0,772
0,0200;-0,2063;0,2076;0,7808;0,834
0,0210;-0,3320;0,1699;0,7833;0,868
0,0210;-0,4244;0,1764;0,7291;0,862
0,0480;-0,4719;0,1612;0,6956;0,856
0,0490;-0,5225;0,1697;0,6803;0,874
0,0490;-0,5487;0,1612;0,6518;0,867
0,0500;-0,5496;0,2171;0,5886;0,834
0,0500;-0,5321;0,2119;0,5166;0,771
0,0510;-0,5814;0,2388;0,4715;0,786
0,0610;-0,6315;0,2942;0,4534;0,831
0,0620;-0,6668;0,3841;0,4621;0,898
0,0630;-0,6539;0,4869;0,4224;0,918
0,0680;-0,6264;0,5057;0,4355;0,915
0,0750;-0,5529;0,5149;0,4369;0,873
0,0780;-0,4297;0,5037;0,4779;0,817
0,0830;-0,3496;0,5355;0,5024;0,813
0,0880;-0,2861;0,5374;0,4482;0,756
0,0930;-0,2209;0,5573;0,3800;0,710
0,0980;-0,1757;0,5664;0,3549;0,691
0,1150;-0,1918;0,5852;0,3370;0,702
0,1150;-0,1846;0,5729;0,3347;0,689
0,1160;-0,1805;0,5488;0,2976;0,650
0,1170;-0,1711;0,5618;0,3836;0,701
0,1290;-0,1758;0,5593;0,3870;0,702
0,1300;-0,1681;0,5675;0,3928;0,710
0,1350;-0,1995;0,5447;0,3989;0,704
0,1480;-0,2174;0,5555;0,3752;0,705
0,1490;-0,2936;0,5818;0,4041;0,767
0,1490;-0,3566;0,5591;0,4641;0,809
0,1590;-0,3923;0,5877;0,4573;0,842
0,1590;-0,4343;0,6163;0,4433;0,875
0,1630;-0,4611;0,5778;0,4476;0,864
0,1730;-0,4647;0,5835;0,4545;0,874
0,1730;-0,4198;0,5568;0,4309;0,820
0,1770;-0,4114;0,5635;0,4211;0,815
0,1850;-0,3904;0,5545;0,3680;0,772
0,1960;-0,4047;0,5777;0,3538;0,789
0,1970;-0,4590;0,6473;0,3114;0,852
0,1980;-0,4899;0,6654;0,2634;0,867
0,2150;-0,4664;0,7025;0,2706;0,886
0,2160;-0,4015;0,8004;0,2612;0,933
0,2160;-0,3310;0,8169;0,2856;0,927
0,2170;-0,2646;0,8297;0,3115;0,925
0,2270;-0,2374;0,8162;0,3068;0,904
0,2280;-0,1850;0,7990;0,3158;0,879
0,2310;-0,1633;0,7604;0,2575;0,819
0,2450;-0,1747;0,6644;0,1951;0,714
0,2460;-0,1489;0,4979;0,1073;0,531
0,2460;-0,1523;0,3638;0,0155;0,395
0,2510;-0,1949;0,2859;-0,0743;0,354
0,2570;-0,2385;0,2869;-0,1481;0,401
0,2610;-0,2546;0,2781;-0,1903;0,422
0,2660;-0,2784;0,2082;-0,1869;0,395
0,2790;-0,2321;0,1931;-0,1640;0,344
