time;gFx;gFy;gFz;TgF
0,005000;-0,0155;0,0545;0,9750;0,977
0,005000;-0,0154;0,0550;0,9808;0,982
0,006000;-0,0162;0,0542;0,9913;0,993
0,006000;-0,0154;0,0568;0,9968;0,999
0,011000;-0,0175;0,0561;0,9986;1,000
0,023000;-0,0156;0,0556;0,9952;0,997
0,024000;-0,0162;0,0528;0,9939;0,995
0,025000;-0,0194;0,0540;0,9877;0,989
0,029000;-0,0194;0,0535;0,9890;0,991
0,042000;-0,0186;0,0515;0,9837;0,985
0,043000;-0,0162;0,0526;0,9798;0,981
0,045000;-0,0161;0,0532;0,9796;0,981
0,067000;-0,0154;0,0543;0,9826;0,984
0,068000;-0,0171;0,0565;0,9853;0,987
0,069000;-0,0149;0,0554;0,9870;0,989
0,069000;-0,0151;0,0519;0,9980;0,999
0,070000;-0,0181;0,0525;0,9997;1,001
0,076000;-0,0212;0,0543;0,9992;1,001
0,082000;-0,0204;0,0523;0,9952;0,997
0,083000;-0,0203;0,0487;0,9862;0,988
0,088000;-0,0172;0,0497;0,9830;0,984
0,093000;-0,0165;0,0499;0,9833;0,985
0,099000;-0,0210;0,0481;0,9814;0,983
0,104000;-0,0165;0,0476;0,9833;0,985
0,108000;-0,0149;0,0465;0,9865;0,988
0,126000;-0,0149;0,0476;0,9854;0,987
0,126000;-0,0154;0,0490;0,9910;0,992
0,127000;-0,0172;0,0487;0,9942;0,996
0,128000;-0,0184;0,0452;0,9930;0,994
0,135000;-0,0204;0,0440;0,9910;0,992
0,139000;-0,0192;0,0442;0,9969;0,998
0,143000;-0,0205;0,0449;0,9895;0,991
0,149000;-0,0165;0,0422;0,9882;0,989
0,153000;-0,0171;0,0397;0,9841;0,985
0,157000;-0,0188;0,0414;0,9821;0,983
0,164000;-0,0181;0,0471;0,9860;0,987
0,168000;-0,0173;0,0427;0,9896;0,991
0,173000;-0,0133;0,0413;0,9885;0,989
0,181000;-0,0134;0,0383;0,9859;0,987
0,183000;-0,0170;0,0387;0,9852;0,986
0,188000;-0,0172;0,0392;0,9866;0,988
0,193000;-0,0175;0,0399;0,9877;0,989
0,200000;-0,0198;0,0398;0,9945;0,995
0,203000;-0,0171;0,0393;0,9936;0,995
0,207000;-0,0186;0,0386;0,9959;0,997
0,212000;-0,0197;0,0392;0,9924;0,993
0,225000;-0,0160;0,0376;0,9876;0,988
0,225000;-0,0161;0,0371;0,9862;0,987
0,227000;-0,0170;0,0382;0,9831;0,984
0,239000;-0,0178;0,0360;0,9749;0,976
0,241000;-0,0144;0,0371;0,9752;0,976
